# ----------------------------------------
# Understand web and/or app traffic overview
# Account: theshowcompany
# Property: The Show Company
# ----------------------------------------
#  
# Start date: 20260427
# End date: 20260725
Country ID,Active users
AE,1
BR,2
CN,5
DE,1
ES,1
FR,1
IN,55
IT,1
PK,1
US,15

# Start date: 20260427
# End date: 20260725
Country,Active users
IN,55
US,15
CN,5
BR,2
AE,1
DE,1
ES,1

#  
# Start date: 20260427
# End date: 20260725
City,Active users
Mumbai,9
Dehradun,6
Delhi,5
Bengaluru,4
Jaipur,3
New Delhi,3
Anantapur,2
Council Bluffs,2
Glenview,2
Gurugram,2
Lucknow,2
Pune,2
Shivamogga,2
Surat,2
Xiamen,2
Adoor,1
Agra,1
Ahmedabad,1
Aspen,1
Balangir,1
Balasore,1
Bhabat,1
Bhimavaram,1
Bhiwani,1
Bikaner,1
Charlotte,1
Cleveland,1
Cooch Behar,1
Dallas,1
Decatur,1
Dhule,1
Faridabad,1
Forest City,1
Frankfurt am Main,1
Genesee,1
Ghaziabad,1
Hyderabad,1
Islamabad,1
Kalyan,1
Kanpur,1
Khammam,1
Kolkata,1
Korba,1
Lille,1
Los Angeles,1
Ludhiana,1
Lunglei,1
Maheshtala,1
Meerut,1
Mehsana,1
Muzaffarnagar,1
Mysuru,1
Nashik,1
New York,1
Orlando,1
Rajkot,1
Salem,1
Sangli Miraj Kupwad,1
Shanghai,1
Sharjah,1
Siliguri,1
Sivakasi,1
Udaipur,1
Varanasi,1
Visakhapatnam,1

#  
# Start date: 20260427
# End date: 20260725
Nth week,Average engagement time per active user
0007,5.933333333333334
0008,25.823529411764707
0009,15.555555555555555
0010,43.10526315789474
0011,21.153846153846153
0012,19.7

# Start date: 20260427
# End date: 20260725
Nth week,Engaged sessions per active user
0007,0.26666666666666666
0008,0.47058823529411764
0009,0.8888888888888888
0010,0.7894736842105263
0011,0.5384615384615384
0012,0.3

# Start date: 20260427
# End date: 20260725
Nth week,Average engagement time per session
0007,4.045454545454546
0008,14.161290322580646
0009,6.363636363636363
0010,19.046511627906977
0011,9.821428571428571
0012,12.709677419354838

#  
# Start date: 20260427
# End date: 20260725
Event name,Event count
page_view,199
session_start,179
first_visit,85
scroll,35
user_engagement,35
click,8
form_start,5
generate_lead,4

#  
# Start date: 20260427
# End date: 20260725
Page title and screen class,Views
"The Show Company | Stand-Up Comedy, College & Corporate Events",199

#  
# Start date: 20260427
# End date: 20260725
Nth day,DAU / MAU,DAU / WAU,WAU / MAU
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,0,0,0
0044,0,0,0
0045,0,0,0
0046,0,0,0
0047,0,0,0
0048,0,0,0
0049,0,0,0
0050,1,1,1
0051,0.1,0.1,1
0052,0.16666666666666666,0.16666666666666666,1
0053,0.07692307692307693,0.07692307692307693,1
0054,0.13333333333333333,0.13333333333333333,1
0055,0,0,1
0056,0.0625,0.0625,1
0057,0.0625,0.14285714285714285,0.4375
0058,0.16666666666666666,0.375,0.4444444444444444
0059,0.28,0.5,0.56
0060,0.07407407407407407,0.13333333333333333,0.5555555555555556
0061,0.12903225806451613,0.23529411764705882,0.5483870967741935
0062,0.03125,0.05555555555555555,0.5625
0063,0,0,0.53125
0064,0.030303030303030304,0.05555555555555555,0.5454545454545454
0065,0.05714285714285714,0.11764705882352941,0.4857142857142857
0066,0.08108108108108109,0.23076923076923078,0.35135135135135137
0067,0,0,0.2972972972972973
0068,0.07894736842105263,0.3333333333333333,0.23684210526315788
0069,0,0,0.21052631578947367
0070,0.11904761904761904,0.4166666666666667,0.2857142857142857
0071,0.06818181818181818,0.23076923076923078,0.29545454545454547
0072,0.043478260869565216,0.15384615384615385,0.2826086956521739
0073,0.041666666666666664,0.15384615384615385,0.2708333333333333
0074,0.058823529411764705,0.1875,0.3137254901960784
0075,0.10909090909090909,0.3157894736842105,0.34545454545454546
0076,0.08620689655172414,0.22727272727272727,0.3793103448275862
0077,0.03333333333333333,0.1,0.3333333333333333
0078,0.01639344262295082,0.05263157894736842,0.3114754098360656
0079,0,0,0.2786885245901639
0080,0.018867924528301886,0.0625,0.3018867924528302
0081,0.037037037037037035,0.13333333333333333,0.2777777777777778
0082,0.03636363636363636,0.15384615384615385,0.23636363636363636
0083,0.15625,0.5555555555555556,0.28125
0084,0.046875,0.15789473684210525,0.296875
0085,0,0,0.28125
0086,0.015625,0.05263157894736842,0.296875
0087,0.030303030303030304,0.1,0.30303030303030304
0088,0.04477611940298507,0.14285714285714285,0.31343283582089554
0089,0.016129032258064516,0.05,0.3225806451612903

#  
# Start date: 20260427
# End date: 20260725
Language,Active users
English,81
Chinese,2
Arabic,1
Marathi,1
