Date,Clicks,Impressions,CTR,Position
2026-04-25,0,1,0%,39
2026-04-26,0,4,0%,4
2026-04-27,0,4,0%,12.2
2026-04-28,0,2,0%,1.5
2026-04-29,0,3,0%,22.3
2026-04-30,1,2,50%,6.5
2026-05-01,0,4,0%,7.2
2026-05-02,0,2,0%,3.5
2026-05-03,0,3,0%,5
2026-05-04,1,3,33.33%,4.7
2026-05-05,1,6,16.67%,5.3
2026-05-06,0,5,0%,6.2
2026-05-07,0,9,0%,2.1
2026-05-08,4,11,36.36%,6
2026-05-09,2,11,18.18%,7.8
2026-05-10,0,3,0%,8.7
2026-05-11,0,6,0%,8.3
2026-05-12,4,15,26.67%,2.7
2026-05-13,0,6,0%,8
2026-05-14,0,7,0%,4.4
2026-05-15,4,11,36.36%,4.1
2026-05-16,4,9,44.44%,10.3
2026-05-17,0,4,0%,42.8
2026-05-18,3,8,37.5%,8.5
2026-05-19,2,8,25%,3
2026-05-20,1,11,9.09%,6.4
2026-05-21,3,9,33.33%,3.8
2026-05-22,1,6,16.67%,2.8
2026-05-23,0,4,0%,1.8
2026-05-24,0,5,0%,6.4
2026-05-25,0,8,0%,6.4
2026-05-26,0,9,0%,4.9
2026-05-27,0,5,0%,3
2026-05-28,1,8,12.5%,9.9
2026-05-29,0,9,0%,5.9
2026-05-30,1,8,12.5%,10.8
2026-05-31,1,9,11.11%,4.3
2026-06-01,1,6,16.67%,4.7
2026-06-02,2,14,14.29%,3.7
2026-06-03,0,10,0%,5.1
2026-06-04,0,10,0%,4.6
2026-06-05,0,5,0%,3.2
2026-06-06,1,8,12.5%,4.2
2026-06-07,0,3,0%,7
2026-06-08,0,11,0%,7.8
2026-06-09,2,11,18.18%,6.6
2026-06-10,2,10,20%,3.8
2026-06-11,0,7,0%,7.3
2026-06-12,0,13,0%,6.9
2026-06-13,1,4,25%,4.5
2026-06-14,0,10,0%,4.1
2026-06-15,0,12,0%,5.9
2026-06-16,0,6,0%,3.3
2026-06-17,0,11,0%,8.3
2026-06-18,1,10,10%,3.7
2026-06-19,0,11,0%,4.7
2026-06-20,0,6,0%,8.7
2026-06-21,0,9,0%,3.9
2026-06-22,0,8,0%,4
2026-06-23,0,10,0%,4
2026-06-24,1,8,12.5%,3.4
2026-06-25,0,4,0%,2.8
2026-06-26,0,4,0%,1.5
2026-06-27,0,1,0%,1
2026-06-28,1,9,11.11%,10.6
2026-06-29,0,3,0%,4.3
2026-06-30,1,7,14.29%,3.6
2026-07-01,0,3,0%,4
2026-07-02,0,6,0%,4.2
2026-07-03,0,7,0%,4.1
2026-07-04,0,3,0%,2.7
2026-07-05,0,3,0%,5
2026-07-06,0,7,0%,4.4
2026-07-07,0,8,0%,4.8
2026-07-08,0,4,0%,5.5
2026-07-09,2,16,12.5%,6.1
2026-07-10,1,7,14.29%,2.7
2026-07-11,0,8,0%,6
2026-07-12,0,14,0%,7.1
2026-07-13,0,14,0%,8.6
2026-07-14,0,12,0%,6.7
2026-07-15,0,11,0%,7.1
2026-07-16,0,11,0%,5.9
2026-07-17,0,16,0%,3.8
2026-07-18,0,9,0%,4.9
2026-07-19,1,20,5%,8.8
2026-07-20,0,16,0%,3.7
2026-07-21,0,40,0%,5.7
2026-07-22,0,22,0%,4.5
2026-07-23,0,17,0%,11.4
2026-07-24,1,20,5%,5.7
