Country,Clicks,Impressions,CTR,Position
India,52,699,7.44%,4.7
United States,0,15,0%,11.4
Singapore,0,12,0%,47.17
Vietnam,0,8,0%,11.38
Canada,0,6,0%,10.17
Spain,0,5,0%,25.4
United Kingdom,0,4,0%,24.25
Pakistan,0,3,0%,6.67
Italy,0,3,0%,17.67
United Arab Emirates,0,2,0%,1.5
Bangladesh,0,2,0%,7
Brazil,0,2,0%,13.5
Australia,0,1,0%,1
Bahrain,0,1,0%,1
Syria,0,1,0%,2
Croatia,0,1,0%,3
Germany,0,1,0%,4
Taiwan,0,1,0%,6
South Korea,0,1,0%,8
Iran,0,1,0%,9
Saudi Arabia,0,1,0%,9
Qatar,0,1,0%,11
France,0,1,0%,15
Egypt,0,1,0%,39
